月份/地点,站点2预测,站点2实际
27.0,176.999,279.0
29.0,175.161,196.0
21.0,190.392,141.0
38.0,109.64,63.0
44.0,175.762,165.0
18.0,222.119,335.0
24.0,112.765,119.0
25.0,62.4226,64.0
48.0,212.885,187.0
28.0,181.001,155.0
42.0,152.28,165.0
13.0,237.258,245.0
19.0,220.004,291.0
15.0,222.66,237.0
14.0,222.633,195.0
37.0,141.936,167.0
46.0,195.752,268.0
40.0,118.225,146.0
36.0,163.759,153.0
26.0,122.997,193.0
39.0,109.607,115.0
35.0,161.128,261.0
32.0,181.181,188.0
47.0,208.833,280.0
43.0,162.66,143.0
23.0,174.381,205.0
41.0,136.681,141.0
20.0,216.551,234.0
16.0,220.471,283.0
45.0,186.632,186.0
22.0,178.174,138.0
34.0,184.434,126.0
30.0,176.015,242.0
33.0,186.635,234.0
17.0,223.564,269.0
31.0,182.075,179.0
