月份/地点,站点12预测,站点12实际
40.0,131.653,233.0
20.0,81.978,90.0
34.0,128.119,124.0
19.0,90.2432,84.0
25.0,59.7823,59.0
35.0,124.523,128.0
15.0,146.117,160.0
36.0,125.184,154.0
42.0,163.309,170.0
32.0,208.183,222.0
46.0,122.949,126.0
22.0,70.9012,69.0
29.0,209.596,180.0
13.0,63.8239,63.0
37.0,121.514,174.0
39.0,115.336,216.0
33.0,163.333,161.0
38.0,124.497,121.0
21.0,75.4896,113.0
27.0,148.152,150.0
16.0,148.343,143.0
18.0,101.977,100.0
47.0,112.852,103.0
44.0,142.619,142.0
17.0,122.327,121.0
43.0,155.098,151.0
28.0,184.255,206.0
14.0,72.9131,69.0
26.0,94.5281,82.0
31.0,223.032,239.0
24.0,59.1538,35.0
48.0,100.092,93.0
45.0,132.305,135.0
41.0,153.924,212.0
30.0,220.331,224.0
23.0,63.7733,33.0
