月份/地点,站点10预测,站点10实际
15.0,34.4247,33.0
14.0,17.0016,17.0
44.0,77.7154,73.0
48.0,54.0256,52.0
40.0,76.1913,76.0
33.0,132.094,134.0
42.0,76.8748,76.0
25.0,24.5273,25.0
36.0,81.8524,79.0
11.0,36.8906,37.0
27.0,61.6918,58.0
20.0,88.2426,90.0
22.0,75.4212,82.0
31.0,117.48,116.0
34.0,82.9035,85.0
26.0,65.859,68.0
19.0,62.0874,61.0
28.0,35.9317,34.0
45.0,79.1603,67.0
32.0,121.911,125.0
47.0,73.122,73.0
46.0,81.1903,99.0
17.0,74.0533,73.0
13.0,29.7513,30.0
18.0,57.8483,57.0
21.0,63.5567,59.0
38.0,51.5287,52.0
24.0,64.1036,62.0
41.0,90.7037,97.0
39.0,98.4732,98.0
37.0,53.1843,134.0
43.0,83.5675,63.0
29.0,59.8145,72.0
12.0,57.7501,30.0
30.0,61.8251,158.0
23.0,74.8672,56.0
35.0,79.706,110.0
16.0,63.2405,57.0
