月份/地点,站点13预测,站点13实际
47.0,4.47593,6.0
41.0,6.21724,8.0
33.0,15.8568,17.0
30.0,8.9098,9.0
23.0,36.8867,38.0
31.0,8.2146,8.0
46.0,3.85375,13.0
40.0,6.77378,6.0
26.0,19.2565,18.0
48.0,3.94941,4.0
29.0,14.2692,14.0
20.0,40.6615,40.0
25.0,24.2977,25.0
14.0,2.96013,3.0
34.0,8.66171,9.0
19.0,3.78584,50.0
12.0,3.68933,3.0
21.0,42.4121,43.0
36.0,4.35899,4.0
37.0,3.58497,4.0
17.0,1.005,1.0
43.0,4.06674,4.0
11.0,4.22303,4.0
13.0,3.15488,13.0
44.0,3.97528,4.0
42.0,5.27065,5.0
38.0,4.44592,4.0
16.0,1.62181,7.0
45.0,3.69414,4.0
27.0,16.3875,51.0
18.0,2.22194,21.0
28.0,15.3127,32.0
15.0,2.08596,7.0
32.0,15.4008,5.0
39.0,6.03887,5.0
22.0,44.2757,44.0
35.0,5.40838,14.0
24.0,34.3513,28.0
