月份/地点,站点5预测,站点5实际
36.0,37.1083,34.0
45.0,38.7257,33.0
33.0,58.336,58.0
12.0,48.4394,47.0
48.0,60.1306,63.0
16.0,52.3874,57.0
21.0,10.1169,9.0
23.0,32.6685,32.0
25.0,30.4783,29.0
47.0,35.1106,110.0
26.0,84.9346,87.0
13.0,35.5599,35.0
32.0,56.135,56.0
29.0,47.2009,51.0
11.0,50.198,51.0
42.0,25.1082,24.0
27.0,65.9391,70.0
18.0,73.5576,73.0
46.0,39.7494,81.0
38.0,17.199,16.0
44.0,39.2592,42.0
30.0,107.321,110.0
17.0,44.7574,47.0
40.0,35.0473,34.0
41.0,28.7346,52.0
19.0,70.3169,85.0
24.0,46.7652,48.0
43.0,29.0756,28.0
31.0,80.9459,78.0
35.0,49.6667,51.0
28.0,44.0692,61.0
34.0,58.1743,72.0
37.0,22.0743,50.0
39.0,34.1686,27.0
14.0,54.8541,42.0
22.0,106.833,4.0
20.0,44.8607,108.0
15.0,59.2085,65.0
