月份/地点,站点2预测,站点2实际
33.0,94.298225,94.0
22.0,11.31971,13.0
24.0,14.663819,172.0
41.0,68.257164,73.0
31.0,93.91987,100.0
28.0,80.023186,57.0
35.0,89.33716,86.0
43.0,69.241104,71.0
46.0,90.26109,97.0
45.0,89.614174,94.0
25.0,44.276413,44.0
27.0,71.74333,82.0
37.0,76.80428,92.0
20.0,9.613265,18.0
32.0,95.07219,71.0
14.0,7.9718304,6.0
48.0,91.80248,96.0
12.0,9.847892,26.0
38.0,72.8236,47.0
44.0,74.11004,71.0
21.0,10.183197,19.0
15.0,8.079786,11.0
13.0,8.890331,9.0
19.0,8.138864,21.0
34.0,92.19046,199.0
40.0,70.090385,141.0
23.0,11.932902,40.0
42.0,69.59143,62.0
30.0,90.07136,103.00001
36.0,83.12188,91.0
39.0,69.947426,124.0
17.0,6.7759557,15.000001
26.0,61.69415,57.0
11.0,11.073832,15.000001
16.0,7.3942447,12.0
47.0,90.96978,87.0
29.0,84.632576,104.0
18.0,7.302125,28.0
