月份/地点,站点13预测,站点13实际
42.0,123.74455,128.0
22.0,98.72276,119.0
39.0,63.606968,93.0
25.0,46.42058,47.0
20.0,71.01231,67.99999
21.0,78.31593,76.0
27.0,77.189606,67.99999
31.0,116.38209,155.0
32.0,132.72194,134.0
28.0,123.78993,126.0
33.0,130.90593,144.0
15.0,53.342407,66.0
18.0,87.80595,81.0
13.0,55.352688,54.0
48.0,116.38315,115.00001
30.0,123.36828,113.99999
41.0,59.07451,198.99998
17.0,111.24215,122.0
43.0,140.99641,132.0
45.0,122.24653,145.0
12.0,82.686516,55.0
16.0,89.79232,99.0
47.0,127.95523,109.0
23.0,99.85999,120.0
26.0,37.20746,37.0
34.0,130.11334,102.0
35.0,104.98853,125.0
14.0,24.104355,23.999998
36.0,97.79146,110.0
19.0,80.27447,85.0
46.0,119.63459,150.0
40.0,43.174625,140.0
37.0,92.03224,122.99999
11.0,86.90595,109.0
38.0,92.83743,59.0
24.0,88.972115,49.0
29.0,124.2963,153.0
44.0,139.3478,112.0
