月份/地点,站点11预测,站点11实际
33.0,85.270874,66.0
38.0,14.545334,12.999998
26.0,18.80154,18.0
27.0,62.40402,62.000004
23.0,76.57893,175.0
30.0,77.95398,73.0
15.0,33.48779,31.000002
29.0,81.406044,128.0
22.0,68.48534,108.0
20.0,58.074306,58.0
28.0,85.10667,75.0
46.0,93.54186,177.0
32.0,77.78847,75.0
42.0,72.790054,63.0
13.0,33.869595,25.999998
36.0,52.49107,46.0
35.0,88.006714,69.0
12.0,29.021242,72.0
39.0,37.444103,34.0
16.0,43.758793,47.999996
25.0,25.12064,23.0
48.0,83.320076,83.0
31.0,72.728386,73.0
45.0,90.975075,100.0
43.0,73.87546,101.0
18.0,47.34448,49.0
40.0,79.82353,106.00001
34.0,81.007774,117.0
41.0,76.77833,118.0
37.0,20.186258,20.0
24.0,80.087944,47.0
21.0,61.129066,60.0
44.0,85.190994,86.0
17.0,48.086647,43.0
47.0,90.27901,128.0
19.0,52.088932,76.0
11.0,26.013443,39.0
14.0,37.585655,14.0
