月份/地点,站点1预测,站点1实际
35.0,124.81996,300.0
42.0,66.761246,60.0
18.0,106.89901,93.0
30.0,177.8209,184.0
46.0,78.360695,82.0
37.0,108.429146,108.0
34.0,152.55708,152.0
38.0,93.73573,97.0
29.0,160.05257,189.99998
47.0,41.081787,69.0
33.0,133.23866,131.0
17.0,94.62422,94.99999
15.0,74.39687,103.00001
12.0,46.91252,101.0
24.0,9.637192,9.0
41.0,74.98936,139.0
31.0,158.76755,170.0
36.0,125.68035,204.0
45.0,105.09732,99.00001
27.0,72.550995,94.0
44.0,85.93565,94.0
26.0,33.380375,31.0
23.0,67.06907,75.0
22.0,69.32733,89.0
25.0,31.270638,37.0
20.0,112.95651,81.0
48.0,39.756668,36.0
21.0,98.27057,121.99999
19.0,115.06932,112.0
13.0,41.73706,43.0
11.0,50.356808,74.0
40.0,81.292336,105.0
43.0,67.76423,71.0
16.0,73.03661,87.0
39.0,85.508644,101.0
14.0,58.89682,38.0
32.0,139.64273,154.0
28.0,114.852875,157.0
