月份/地点,站点4预测,站点4实际
43.0,148.28406,148.0
25.0,168.76508,254.0
46.0,112.150665,108.00001
37.0,259.0848,232.0
27.0,164.5023,544.0
20.0,390.35202,378.99997
26.0,180.4318,221.99998
41.0,312.88318,326.0
34.0,560.4367,449.0
33.0,604.9572,798.0
47.0,134.8535,134.0
38.0,208.88658,195.0
15.0,196.53325,321.0
35.0,410.6101,782.0
29.0,482.95346,806.0
36.0,311.6104,716.0
22.0,240.89998,330.0
16.0,115.78275,429.99997
45.0,133.70966,209.00002
14.0,179.02397,143.0
30.0,712.17505,630.0
21.0,328.61783,334.0
48.0,55.49495,62.999996
40.0,478.9477,457.0
24.0,110.41987,98.0
17.0,257.54126,433.0
18.0,394.52136,381.00003
32.0,696.2098,658.0
11.0,174.93282,308.0
12.0,164.31317,259.0
23.0,186.62802,443.0
31.0,729.56305,712.0
19.0,419.89282,408.0
39.0,385.5243,312.0
28.0,184.49739,749.0
42.0,179.2786,247.0
13.0,146.69908,142.0
44.0,148.05356,266.0
