月份/地点,站点12预测,站点12实际
32.0,3.1133766,14.0
21.0,1.0105333,13.0
26.0,3.0732021,3.0
22.0,0.9906764,1.0
42.0,13.441274,13.0
23.0,1.4802423,4.0
33.0,8.365097,23.000002
19.0,10.708622,15.0
16.0,2.8563695,6.0
29.0,5.0685706,5.0
44.0,12.225715,16.0
11.0,2.427045,2.0
46.0,12.207754,11.0
27.0,3.3904047,6.0
12.0,1.6364233,2.0
20.0,6.5707264,7.0
43.0,13.673061,27.000002
45.0,12.609484,13.0
13.0,2.3958309,5.0
34.0,13.926824,13.0
41.0,11.855058,13.0
28.0,3.262141,3.0
15.0,2.0847483,2.0
40.0,10.639365,19.000002
35.0,1.7906307,16.999998
47.0,11.890439,7.0
18.0,8.761076,8.0
17.0,3.9892387,4.0
30.0,4.7069445,11.0
48.0,12.246334,33.999996
38.0,6.7697673,6.0
31.0,6.533091,7.0
37.0,4.688849,16.0
36.0,3.1815088,18.0
39.0,8.691833,20.0
25.0,2.849626,7.0
24.0,2.5048075,19.000002
14.0,2.0329034,2.0
