月份/地点,站点5预测,站点5实际
22.0,2.7171717,4.0
15.0,2.7171717,65.0
41.0,2.7171717,52.0
47.0,2.7171717,110.0
27.0,2.7171717,70.0
14.0,2.7171717,42.0
43.0,2.7171717,28.0
29.0,2.7171717,51.0
18.0,2.7171717,73.0
33.0,2.7171717,58.0
44.0,2.7171717,42.0
19.0,2.7171717,85.0
31.0,2.7171717,78.0
25.0,2.7171717,29.0
17.0,2.7171717,47.0
46.0,2.7171717,81.0
39.0,2.7171717,27.0
12.0,2.7171717,47.0
26.0,2.7171717,87.0
40.0,2.7171717,34.0
35.0,2.7171717,51.0
32.0,2.7171717,56.0
16.0,2.7171717,57.0
36.0,2.7171717,34.0
28.0,2.7171717,61.0
23.0,2.7171717,32.0
30.0,2.7171717,110.0
24.0,2.7171717,48.0
34.0,2.7171717,72.0
38.0,2.7171717,16.000002
42.0,2.7171717,24.0
45.0,2.7171717,33.0
20.0,2.7171717,108.0
37.0,2.7171717,50.0
48.0,2.7171717,63.0
21.0,2.7171717,9.0
13.0,2.7171717,35.0
11.0,2.7171717,51.0
