月份/地点,站点13预测,站点13实际
34.0,10.157619,9.0
46.0,6.8762965,13.0
26.0,17.551931,18.0
25.0,24.07812,25.0
29.0,13.011496,13.999999
22.0,42.587284,44.0
28.0,31.552706,32.0
19.0,8.488588,50.0
17.0,0.4949495,1.0
43.0,3.8220828,4.0
15.0,6.671584,6.9999995
30.0,8.176135,9.0
48.0,3.8342633,4.0
38.0,3.9632092,4.0
12.0,3.0398712,3.0
13.0,3.505225,13.0
39.0,5.18031,5.0
36.0,4.1731033,4.0
20.0,38.692646,40.0
47.0,6.214819,6.0
23.0,37.795227,38.0
21.0,42.011917,43.0
33.0,11.174034,17.0
14.0,3.0043538,3.0
42.0,5.027749,5.0
44.0,3.9868832,4.0
37.0,3.899561,4.0
35.0,7.378985,13.999999
32.0,5.0745916,5.0
11.0,3.9539952,4.0
18.0,2.6743705,21.0
31.0,4.135405,8.0
27.0,9.889307,51.0
16.0,3.4836006,6.9999995
40.0,10.251578,6.0
45.0,3.3096714,4.0
41.0,7.7554245,8.0
24.0,33.336437,27.999998
