月份/地点,站点4预测,站点4实际
16.0,142.51898,144.0
32.0,208.04251,209.0
23.0,102.25753,102.0
40.0,148.3773,149.99998
36.0,255.77551,252.0
13.0,101.640915,101.0
29.0,137.73036,138.0
21.0,171.6229,176.0
30.0,212.43233,215.0
45.0,120.70626,120.0
11.0,105.915306,106.0
47.0,117.35037,117.99999
14.0,79.02213,76.0
42.0,146.76753,149.00002
33.0,258.15256,262.0
38.0,168.93585,171.0
41.0,172.5892,173.0
19.0,248.01866,249.0
22.0,118.46541,119.0
25.0,176.16971,175.0
39.0,152.77113,155.0
43.0,189.98506,186.0
26.0,210.5037,208.0
12.0,115.58197,117.99999
15.0,140.11311,141.0
28.0,242.96475,243.0
35.0,174.52467,318.0
37.0,147.41205,153.0
18.0,203.282,208.0
46.0,186.78096,186.0
31.0,132.8542,303.0
44.0,178.29718,174.0
34.0,195.04979,246.0
27.0,162.63788,283.0
17.0,137.24689,207.0
48.0,107.929695,114.00001
20.0,180.68892,179.0
24.0,118.74837,43.0
