月份/地点,站点1预测,站点1实际
24.0,8.508857,8.0
12.0,17.982298,17.0
31.0,14.93153,18.0
36.0,8.361787,24.0
29.0,15.594676,16.0
44.0,13.42681,11.0
28.0,13.946567,14.0
39.0,8.405586,9.0
37.0,8.3249655,15.0
42.0,12.845074,13.0
48.0,7.84366,6.0
20.0,9.224632,42.0
30.0,18.317612,23.0
47.0,7.884111,11.0
26.0,14.399636,16.0
18.0,17.35431,17.0
40.0,8.794566,8.0
43.0,14.435242,16.0
38.0,8.262538,8.0
27.0,13.280566,13.0
11.0,22.327896,24.0
21.0,7.3079104,49.0
15.0,7.1974344,7.0
23.0,7.303232,39.0
32.0,9.479647,9.0
33.0,7.8326807,26.0
16.0,9.823545,9.0
34.0,7.7735953,11.0
45.0,11.566784,17.0
35.0,8.162005,23.0
22.0,6.7936573,51.0
41.0,10.129211,8.0
17.0,16.102945,22.0
46.0,8.8421135,10.0
13.0,12.430662,16.0
14.0,7.976777,8.0
19.0,15.134117,62.000004
25.0,12.018459,4.0
