月份/地点,站点2预测,站点2实际
36.0,144.20401,153.0
19.0,200.67589,291.00003
12.0,202.92027,186.00002
17.0,176.95236,269.0
41.0,139.91801,141.0
23.0,130.10695,205.00002
24.0,107.565865,119.0
31.0,186.53157,179.00002
37.0,143.84209,166.99998
34.0,163.2954,126.0
48.0,205.42703,187.0
25.0,72.58651,64.0
38.0,140.35168,63.0
42.0,156.27478,164.99998
35.0,142.84607,261.0
13.0,199.0913,245.00002
11.0,206.51584,200.0
29.0,183.71043,196.0
47.0,195.25513,280.0
26.0,81.918335,193.00003
46.0,188.28108,268.00003
22.0,160.22781,138.0
14.0,194.63661,195.0
32.0,179.23961,188.0
44.0,181.24898,164.99998
39.0,127.88523,115.0
16.0,174.92345,283.00003
40.0,128.81918,146.0
28.0,167.96185,155.0
45.0,187.52193,186.00002
27.0,116.26896,279.00003
18.0,183.67975,335.0
15.0,182.5654,237.00002
21.0,191.81099,141.0
43.0,173.45555,143.0
20.0,204.22456,234.0
33.0,167.29964,234.0
30.0,186.0533,242.0
