月份/地点,站点15预测,站点15实际
27.0,143.92114,139.0
40.0,125.036415,384.0
34.0,311.38077,311.0
32.0,264.4646,292.0
13.0,134.43188,133.0
33.0,306.4019,340.00003
36.0,203.33781,197.0
17.0,228.98062,225.0
44.0,275.66168,245.0
26.0,98.98637,96.0
29.0,155.6489,148.0
25.0,94.686874,95.0
24.0,107.31334,107.0
28.0,171.07082,175.00002
18.0,238.84027,222.0
31.0,214.43613,263.0
48.0,130.12012,130.0
43.0,315.27286,327.0
22.0,172.66582,229.99998
19.0,249.27426,224.0
21.0,227.47676,220.0
37.0,165.96414,280.0
15.0,171.57463,173.0
39.0,123.15746,301.0
30.0,159.58772,153.0
42.0,311.38962,312.0
38.0,143.43242,139.0
47.0,169.60861,185.0
45.0,231.70943,267.0
11.0,86.4928,86.0
41.0,198.5235,405.0
20.0,247.97774,239.0
14.0,145.08107,105.0
46.0,188.61862,215.99998
35.0,258.9413,332.0
16.0,198.08629,231.0
23.0,135.50262,164.0
12.0,114.949776,136.0
