月份/地点,站点4预测,站点4实际
11.0,111.90799,106.0
39.0,152.86906,155.0
23.0,102.137314,102.0
19.0,236.61234,249.0
46.0,116.544815,186.0
18.0,218.6919,208.0
30.0,217.74557,215.0
47.0,126.50275,117.99999
24.0,40.22222,43.0
41.0,163.79878,173.0
26.0,106.21096,208.0
12.0,99.01964,117.99999
38.0,161.65034,171.0
42.0,163.78035,149.00002
44.0,149.10535,174.0
34.0,159.18152,246.0
35.0,178.34763,318.0
21.0,177.22054,176.0
31.0,178.76836,303.0
36.0,205.55086,252.0
28.0,243.13268,243.0
17.0,182.81682,207.0
13.0,95.429146,101.0
45.0,130.69135,120.0
16.0,141.34207,144.0
43.0,158.70467,186.0
14.0,82.72961,76.0
20.0,200.80136,179.0
37.0,197.74596,153.0
48.0,111.42718,114.00001
40.0,161.46,149.99998
29.0,281.32297,138.0
33.0,134.94778,262.0
32.0,158.08325,209.0
15.0,100.07169,141.0
27.0,130.55539,283.0
25.0,69.49857,175.0
22.0,161.71094,119.0
