月份/地点,站点13预测,站点13实际
36.0,4.1232595,4.0
22.0,41.95341,44.0
20.0,38.633255,40.0
26.0,18.753832,18.0
38.0,4.2421155,4.0
33.0,9.915503,17.0
47.0,2.6994793,6.0
42.0,5.1422496,5.0
16.0,1.7493778,6.9999995
14.0,3.419808,3.0
43.0,4.1829805,4.0
11.0,4.2234106,4.0
24.0,27.969973,27.999998
37.0,3.7602336,4.0
19.0,2.5576484,50.0
31.0,8.169129,8.0
32.0,5.0079813,5.0
44.0,3.6223578,4.0
15.0,2.575283,6.9999995
18.0,3.1074119,21.0
27.0,13.379403,51.0
17.0,1.0336112,1.0
28.0,15.5054245,32.0
13.0,3.3965766,13.0
34.0,9.124251,9.0
21.0,45.439007,43.0
12.0,3.6206634,3.0
25.0,23.377552,25.0
29.0,15.628743,13.999999
46.0,4.3623705,13.0
40.0,7.627043,6.0
35.0,7.05438,13.999999
39.0,6.4127274,5.0
48.0,2.228408,4.0
41.0,7.1546555,8.0
45.0,3.75903,4.0
30.0,12.56601,9.0
23.0,34.832214,38.0
