月份/地点,站点3预测,站点3实际
46.0,53.89452,48.0
37.0,109.956184,110.0
39.0,116.92001,119.0
11.0,117.51323,117.0
18.0,152.21237,164.0
20.0,124.41111,168.0
34.0,136.33827,130.0
15.0,80.14901,144.0
14.0,86.62405,79.0
24.0,125.08461,126.0
29.0,207.91554,343.0
40.0,189.51897,165.0
30.0,365.745,355.0
12.0,127.76046,148.0
44.0,53.25137,52.0
26.0,32.397415,34.0
33.0,259.73282,230.0
16.0,170.20691,191.0
31.0,233.72432,232.0
28.0,108.86042,188.0
23.0,156.0192,153.0
45.0,32.487434,86.0
19.0,164.1338,149.0
48.0,10.555555,13.999999
36.0,137.79173,137.0
47.0,22.139692,39.0
35.0,132.05232,186.0
21.0,150.09557,200.99998
13.0,114.954346,119.0
32.0,194.35574,289.0
42.0,188.83635,107.0
27.0,28.960667,105.0
43.0,83.92565,65.0
22.0,171.83945,193.0
41.0,193.77264,179.99998
38.0,171.45544,55.999996
25.0,103.66023,46.000004
17.0,197.44809,164.0
