月份/地点,站点4预测,站点4实际
15.0,117.80164,141.0
14.0,101.36727,76.0
23.0,96.38268,102.0
44.0,162.89459,174.0
46.0,100.17491,186.0
13.0,114.34555,101.0
21.0,159.38094,176.0
24.0,40.22222,43.0
19.0,214.29341,249.0
12.0,109.70411,117.99999
26.0,137.39351,208.0
38.0,153.91798,171.0
29.0,165.61209,138.0
32.0,121.619865,209.0
17.0,189.07372,207.0
39.0,157.3561,155.0
41.0,190.88063,173.0
11.0,114.14594,106.0
20.0,191.04723,179.0
22.0,130.5524,119.0
43.0,178.9996,186.0
16.0,153.29253,144.0
25.0,97.65632,175.0
27.0,153.50525,283.0
28.0,166.97408,243.0
35.0,153.32509,318.0
37.0,171.2516,153.0
48.0,99.79665,114.00001
30.0,163.85602,215.0
33.0,79.57167,262.0
47.0,105.37686,117.99999
45.0,141.25003,120.0
40.0,183.76367,149.99998
36.0,169.92065,252.0
34.0,100.73455,246.0
18.0,212.90736,208.0
31.0,133.31961,303.0
42.0,184.47406,149.00002
