月份/地点,站点10预测,站点10实际
45.0,63.95989,67.0
46.0,58.775864,98.99999
43.0,71.56771,63.0
35.0,108.127075,110.0
28.0,36.979652,34.0
42.0,77.17591,76.0
24.0,32.265682,61.999996
18.0,59.330708,57.000004
22.0,52.882256,82.0
29.0,43.26251,72.0
19.0,61.306137,61.0
14.0,17.310284,17.0
20.0,62.35861,90.0
11.0,38.767376,37.0
25.0,25.758707,25.0
16.0,56.82134,57.000004
13.0,24.56662,30.0
33.0,132.337,133.99998
30.0,55.217594,158.0
31.0,111.97685,115.999985
48.0,52.575977,52.0
27.0,31.51554,58.0
41.0,81.965775,96.999985
39.0,98.14634,97.99999
12.0,30.13778,30.0
21.0,67.473,59.0
17.0,68.84869,73.0
26.0,24.605442,68.0
37.0,126.41218,133.99998
23.0,46.920563,56.0
15.0,36.06721,33.0
34.0,112.24116,84.99999
38.0,122.41503,52.0
36.0,122.7712,79.0
47.0,65.67619,73.0
40.0,89.39154,76.0
44.0,64.85544,73.0
32.0,145.20137,125.0
