月份/地点,站点5预测,站点5实际
37.0,37.222816,50.0
35.0,36.04495,51.0
33.0,23.985254,58.0
16.0,50.83618,57.0
25.0,31.132526,29.0
40.0,38.604538,34.0
39.0,37.943024,27.0
20.0,37.99,108.0
36.0,36.24808,34.0
19.0,42.941227,85.0
34.0,30.335928,72.0
29.0,57.511,51.0
15.0,50.09661,65.0
28.0,48.17847,61.0
43.0,29.211184,28.0
12.0,42.190807,47.0
41.0,28.505243,52.0
17.0,48.501774,47.0
24.0,27.894993,48.0
14.0,44.74085,42.0
27.0,36.218674,70.0
46.0,87.044426,81.0
21.0,10.184082,9.0
22.0,2.7171717,4.0
18.0,41.63185,73.0
32.0,41.030987,56.0
13.0,38.956623,35.0
11.0,60.271896,51.0
42.0,25.643559,24.0
47.0,98.503876,110.0
23.0,22.131767,32.0
38.0,39.37122,16.000002
44.0,43.20477,42.0
45.0,76.8712,33.0
26.0,34.240044,87.0
48.0,80.61389,63.0
31.0,68.94338,78.0
30.0,116.187386,110.0
