月份/地点,站点13预测,站点13实际
29.0,14.920896,13.999999
16.0,1.2145774,6.9999995
20.0,16.67483,40.0
48.0,3.612653,4.0
35.0,4.2168417,13.999999
31.0,7.4310246,8.0
44.0,4.1927967,4.0
32.0,5.0109544,5.0
38.0,4.3396983,4.0
42.0,4.4171257,5.0
40.0,4.5211596,6.0
45.0,4.0959144,4.0
12.0,3.4285176,3.0
36.0,4.137138,4.0
14.0,1.9043722,3.0
47.0,3.4739714,6.0
21.0,27.163904,43.0
28.0,15.91583,32.0
13.0,3.333104,13.0
15.0,1.3103026,6.9999995
33.0,4.5212507,17.0
46.0,3.4978392,13.0
24.0,32.218742,27.999998
39.0,4.5217257,5.0
41.0,4.4886413,8.0
37.0,4.0951514,4.0
18.0,2.6872833,21.0
17.0,1.0268036,1.0
43.0,4.4190025,4.0
25.0,24.094133,25.0
22.0,33.256306,44.0
23.0,34.52827,38.0
34.0,4.3809376,9.0
26.0,17.308077,18.0
11.0,3.7859004,4.0
30.0,10.659074,9.0
19.0,3.6480012,50.0
27.0,11.347484,51.0
