月份/地点,站点12预测,站点12实际
13.0,66.051544,63.0
21.0,42.92449,113.0
16.0,102.07482,143.0
44.0,135.51987,142.0
43.0,151.79683,151.0
30.0,207.31766,224.0
35.0,123.961044,128.0
37.0,118.45422,174.0
40.0,142.37616,233.0
31.0,206.4598,239.00002
20.0,71.36182,90.0
14.0,67.81122,69.0
41.0,164.15718,212.0
28.0,191.38239,206.0
36.0,113.783554,154.0
18.0,111.588196,100.0
24.0,35.126247,35.0
39.0,119.96993,216.0
47.0,111.207306,103.0
25.0,40.998615,59.0
19.0,96.51414,84.0
34.0,140.78064,124.0
32.0,213.16515,222.0
38.0,129.7742,120.99999
17.0,114.63026,120.99999
23.0,33.097595,33.0
29.0,213.5482,180.0
33.0,168.66925,161.0
26.0,79.88313,82.0
11.0,160.17499,163.0
48.0,100.931435,93.0
22.0,38.713512,69.0
12.0,102.96599,83.0
45.0,124.54888,135.0
42.0,167.7715,170.0
15.0,76.57678,160.0
27.0,135.80142,150.0
46.0,117.402664,126.0
