月份/地点,站点2预测,站点2实际
16.0,170.12,283.0
13.0,201.585,245.0
12.0,202.892,186.0
37.0,153.309,167.0
15.0,173.053,237.0
44.0,174.068,165.0
42.0,156.175,165.0
47.0,190.587,280.0
31.0,188.623,179.0
22.0,143.389,138.0
41.0,144.009,141.0
14.0,196.014,195.0
45.0,179.508,186.0
32.0,193.559,188.0
19.0,186.041,291.0
27.0,133.012,279.0
10.0,191.303,196.0
40.0,141.829,146.0
38.0,149.839,63.0
36.0,165.656,153.0
35.0,143.635,261.0
29.0,184.086,196.0
21.0,145.678,141.0
28.0,166.949,155.0
48.0,198.707,187.0
25.0,63.9376,64.0
18.0,179.473,335.0
11.0,198.824,200.0
23.0,155.914,205.0
26.0,86.636,193.0
30.0,186.286,242.0
24.0,121.234,119.0
9.0,182.635,161.0
20.0,180.6,234.0
33.0,180.01,234.0
43.0,156.521,143.0
17.0,182.878,269.0
46.0,187.585,268.0
34.0,152.148,126.0
39.0,149.445,115.0
