月份/地点,站点3预测,站点3实际
14.0,93.1173,79.0
25.0,84.9075,46.0
36.0,141.233,137.0
39.0,46.7026,119.0
23.0,162.545,153.0
37.0,110.448,110.0
19.0,164.99,149.0
31.0,234.369,232.0
17.0,191.117,164.0
40.0,162.67,165.0
21.0,173.708,201.0
11.0,104.051,117.0
18.0,130.054,164.0
20.0,105.104,168.0
22.0,189.604,193.0
34.0,131.385,130.0
48.0,10.5556,14.0
33.0,235.827,230.0
9.0,208.693,308.0
13.0,102.274,119.0
41.0,164.273,180.0
38.0,57.7077,56.0
32.0,192.043,289.0
46.0,50.8147,48.0
35.0,187.631,186.0
27.0,36.5083,105.0
10.0,248.446,218.0
15.0,64.023,144.0
26.0,35.8489,34.0
28.0,114.913,188.0
16.0,182.096,191.0
12.0,139.391,148.0
43.0,44.787,65.0
42.0,185.924,107.0
24.0,102.376,126.0
29.0,213.103,343.0
47.0,10.5556,39.0
45.0,10.5556,86.0
30.0,282.332,355.0
44.0,21.7521,52.0
