事发街道,事发区县,月份,立案量,年份,均值,方差,数据量,出线,年月,日期,
朝外,朝阳区,8,89,2017,433.0416667,267.5269689,48,0,24212,17/8,
朝外,朝阳区,9,143,2017,433.0416667,267.5269689,48,0,24213,17/9,
朝外,朝阳区,10,346,2017,433.0416667,267.5269689,48,0,24214,17/10,
朝外,朝阳区,11,275,2017,433.0416667,267.5269689,48,0,24215,17/11,
朝外,朝阳区,12,350,2017,433.0416667,267.5269689,48,0,24216,17/12,
朝外,朝阳区,1,445,2018,433.0416667,267.5269689,48,0,24217,18/1,
朝外,朝阳区,2,472,2018,433.0416667,267.5269689,48,0,24218,18/2,
朝外,朝阳区,3,540,2018,433.0416667,267.5269689,48,0,24219,18/3,
朝外,朝阳区,4,642,2018,433.0416667,267.5269689,48,0,24220,18/4,
朝外,朝阳区,5,616,2018,433.0416667,267.5269689,48,0,24221,18/5,
朝外,朝阳区,6,587,2018,433.0416667,267.5269689,48,0,24222,18/6,
朝外,朝阳区,7,791,2018,433.0416667,267.5269689,48,0,24223,18/7,
朝外,朝阳区,8,827,2018,433.0416667,267.5269689,48,0,24224,18/8,
朝外,朝阳区,9,767,2018,433.0416667,267.5269689,48,0,24225,18/9,
朝外,朝阳区,10,637,2018,433.0416667,267.5269689,48,0,24226,18/10,
朝外,朝阳区,11,557,2018,433.0416667,267.5269689,48,0,24227,18/11,
朝外,朝阳区,12,554,2018,433.0416667,267.5269689,48,0,24228,18/12,
朝阳门,东城区,1,130,2015,80.22916667,51.53566812,48,0,24181,15/1,
朝阳门,东城区,2,206,2015,80.22916667,51.53566812,48,2,24182,15/2,
朝阳门,东城区,3,189,2015,80.22916667,51.53566812,48,2,24183,15/3,
朝阳门,东城区,4,115,2015,80.22916667,51.53566812,48,0,24184,15/4,
朝阳门,东城区,5,70,2015,80.22916667,51.53566812,48,0,24185,15/5,
朝阳门,东城区,6,129,2015,80.22916667,51.53566812,48,0,24186,15/6,
朝阳门,东城区,7,188,2015,80.22916667,51.53566812,48,2,24187,15/7,
朝阳门,东城区,8,212,2015,80.22916667,51.53566812,48,2,24188,15/8,
朝阳门,东城区,9,167,2015,80.22916667,51.53566812,48,0,24189,15/9,
朝阳门,东城区,10,100,2015,80.22916667,51.53566812,48,0,24190,15/10,
朝阳门,东城区,11,37,2015,80.22916667,51.53566812,48,0,24191,15/11,
朝阳门,东城区,12,50,2015,80.22916667,51.53566812,48,0,24192,15/12,
朝阳门,东城区,1,65,2016,80.22916667,51.53566812,48,0,24193,16/1,
朝阳门,东城区,2,45,2016,80.22916667,51.53566812,48,0,24194,16/2,
朝阳门,东城区,3,66,2016,80.22916667,51.53566812,48,0,24195,16/3,
朝阳门,东城区,4,74,2016,80.22916667,51.53566812,48,0,24196,16/4,
朝阳门,东城区,5,32,2016,80.22916667,51.53566812,48,0,24197,16/5,
朝阳门,东城区,6,21,2016,80.22916667,51.53566812,48,0,24198,16/6,
朝阳门,东城区,7,23,2016,80.22916667,51.53566812,48,0,24199,16/7,
朝阳门,东城区,8,44,2016,80.22916667,51.53566812,48,0,24200,16/8,
朝阳门,东城区,9,41,2016,80.22916667,51.53566812,48,0,24201,16/9,
朝阳门,东城区,10,35,2016,80.22916667,51.53566812,48,0,24202,16/10,
朝阳门,东城区,11,36,2016,80.22916667,51.53566812,48,0,24203,16/11,
朝阳门,东城区,12,9,2016,80.22916667,51.53566812,48,0,24204,16/12,
朝阳门,东城区,1,46,2017,80.22916667,51.53566812,48,0,24205,17/1,
朝阳门,东城区,2,24,2017,80.22916667,51.53566812,48,0,24206,17/2,
朝阳门,东城区,3,34,2017,80.22916667,51.53566812,48,0,24207,17/3,
朝阳门,东城区,4,39,2017,80.22916667,51.53566812,48,0,24208,17/4,
朝阳门,东城区,5,37,2017,80.22916667,51.53566812,48,0,24209,17/5,
朝阳门,东城区,6,52,2017,80.22916667,51.53566812,48,0,24210,17/6,
朝阳门,东城区,7,39,2017,80.22916667,51.53566812,48,0,24211,17/7,
朝阳门,东城区,8,51,2017,80.22916667,51.53566812,48,0,24212,17/8,
朝阳门,东城区,9,42,2017,80.22916667,51.53566812,48,0,24213,17/9,
朝阳门,东城区,10,60,2017,80.22916667,51.53566812,48,0,24214,17/10,
朝阳门,东城区,11,119,2017,80.22916667,51.53566812,48,0,24215,17/11,
朝阳门,东城区,12,79,2017,80.22916667,51.53566812,48,0,24216,17/12,
朝阳门,东城区,1,162,2018,80.22916667,51.53566812,48,0,24217,18/1,
朝阳门,东城区,2,112,2018,80.22916667,51.53566812,48,0,24218,18/2,
朝阳门,东城区,3,116,2018,80.22916667,51.53566812,48,0,24219,18/3,
朝阳门,东城区,4,92,2018,80.22916667,51.53566812,48,0,24220,18/4,
朝阳门,东城区,5,121,2018,80.22916667,51.53566812,48,0,24221,18/5,
朝阳门,东城区,6,66,2018,80.22916667,51.53566812,48,0,24222,18/6,
朝阳门,东城区,7,68,2018,80.22916667,51.53566812,48,0,24223,18/7,
