月份/地点,朝阳门预测,朝阳门实际,大红门预测,大红门实际,德胜预测,德胜实际,东华门预测,东华门实际,东铁营预测,东铁营实际,卢沟桥乡预测,卢沟桥乡实际,马家堡预测,马家堡实际,前门预测,前门实际,王佐镇预测,王佐镇实际,西罗园预测,西罗园实际,西长安街预测,西长安街实际,右安门预测,右安门实际,月坛预测,月坛实际
35.0,177.23781,300.0,97.660225,86.0,24.627995,26.0,510.07367,782.0,91.56241,97.0,141.08029,154.0,33.81433,26.999998,115.00143,120.0,61.768852,62.0,24.26558,16.000002,62.011093,69.0,14.499776,17.0,123.79959,125.0
47.0,60.892628,69.0,90.00531,87.0,23.23583,22.0,62.256256,134.0,47.761703,36.0,43.62651,59.0,20.013014,17.0,21.799847,75.0,19.928259,24.0,25.043722,24.0,98.58135,128.0,7.6317244,7.0000005,119.413635,109.0
45.0,93.885124,99.0,85.22878,94.0,27.11338,37.0,161.86856,209.00002,46.808834,56.000004,49.00515,45.0,29.06409,26.999998,73.22343,129.0,32.552864,34.000004,23.803429,47.0,100.954,100.0,12.882694,13.0,135.87813,145.0
16.0,99.84831,87.0,14.934947,12.0,12.517879,13.0,425.30383,430.0,37.86962,44.0,50.813934,50.0,8.34882,7.0000005,148.79991,184.0,72.61656,108.0,2.9909964,3.0,47.67381,48.0,3.1058233,6.0,73.87122,99.0
43.0,75.14939,71.0,65.738304,71.0,16.60205,14.999999,167.20299,148.0,29.173433,27.0,48.04843,45.0,28.486431,32.0,70.71431,64.0,42.869427,42.000004,22.232012,21.0,98.239975,101.0,14.71342,27.0,122.01996,132.0
31.0,167.95683,170.0,93.01354,100.00001,32.929485,33.0,609.51105,712.0,86.59227,87.0,110.61421,165.99998,38.537792,57.000004,118.79216,117.0,76.19112,116.00001,22.66323,40.0,77.91313,73.0,11.110209,7.0000005,134.26526,155.0
19.0,100.501434,112.0,22.681702,21.0,13.818676,29.999998,454.80026,408.0,31.559113,57.000004,61.328392,55.0,6.3707643,10.0,157.24472,179.0,70.9676,98.0,6.209819,8.0,60.984016,76.0,2.8937078,15.0,84.50804,84.99999
42.0,87.90471,60.000004,70.03286,61.999996,12.910748,25.000002,243.68462,247.0,31.674883,36.0,65.81999,35.0,30.65805,17.0,68.60464,63.0,47.735218,36.0,24.493631,21.0,105.07209,63.0,14.943089,13.0,133.90668,128.0
21.0,68.74545,122.0,14.436846,19.0,8.737818,14.0,350.33527,334.0,14.465179,16.0,59.458584,74.0,0.8958959,8.0,131.81479,225.0,48.543476,105.00001,4.4641905,5.0,48.667065,59.999996,0.9717705,13.0,67.2663,76.0
39.0,93.7608,101.0,54.590294,123.99999,5.2505517,6.0,243.8303,312.0,32.828796,19.999998,91.928986,104.0,16.51113,29.000002,50.737972,65.0,23.20632,33.0,15.971436,45.000004,38.949837,34.0,8.777679,20.0,89.124725,93.0
27.0,97.91998,94.0,43.511757,82.0,5.7609434,6.0,497.94846,544.0,25.583378,60.000004,64.07555,80.0,4.8768644,12.0,124.89346,127.0,42.18106,203.0,1.9109108,5.0,44.38792,62.0,1.5273943,6.0,84.998924,68.0
33.0,148.1752,131.0,94.36055,94.0,23.307024,24.0,477.88583,798.00006,91.47226,84.0,128.13675,125.0,29.780924,41.0,95.44505,80.0,80.97581,143.0,27.436073,29.0,82.20861,66.0,14.21939,23.0,114.90299,144.0
17.0,110.54291,95.0,24.89916,15.0,14.821553,8.0,470.43835,433.00003,41.72302,58.000004,59.450565,41.0,10.4066105,9.0,156.71947,188.0,80.85364,138.0,6.6041403,7.0000005,62.08133,43.0,4.159973,4.0,87.88672,121.99999
26.0,56.641987,31.0,40.184856,57.0,0.9509509,7.0,361.77408,222.0,14.999452,42.0,61.11787,43.0,0.8958959,12.0,102.49382,79.0,39.98068,26.0,1.9109108,3.0,27.7338,18.0,0.9895062,3.0,61.98302,37.0
