月份/地点,白纸坊预测,白纸坊实际,大红门预测,大红门实际,德胜预测,德胜实际,东华门预测,东华门实际,东铁营预测,东铁营实际,广安门外预测,广安门外实际,建外预测,建外实际,酒仙桥预测,酒仙桥实际,六里屯预测,六里屯实际,卢沟桥乡预测,卢沟桥乡实际,马家堡预测,马家堡实际,南磨房预测,南磨房实际,西长安街预测,西长安街实际,右安门预测,右安门实际,月坛预测,月坛实际
20.0,41.73371,42.0,221.61172,234.0,168.01042,168.0,195.19492,179.0,22.044918,108.0,40.1285,42.0,240.39592,420.0,102.130775,88.0,97.69934,100.0,69.72334,90.0,0.9509509,11.0,92.20235,90.0,8.355382,40.0,40.659172,54.0,226.99956,239.0
38.0,8.029329,8.0,71.08221,63.000004,60.189877,56.0,125.42043,171.0,16.9119,16.0,40.322033,37.0,135.78076,141.0,109.18933,123.0,74.80331,82.0,54.953026,52.0,20.183878,20.0,127.514915,121.0,3.7888365,4.0,17.547905,18.0,179.70598,139.0
44.0,11.897727,11.0,174.41289,165.0,67.24794,52.0,135.98145,174.0,36.333492,42.0,55.658543,35.0,151.99014,138.0,101.599106,107.0,30.743084,26.0,71.77509,73.0,30.217031,32.0,137.867,142.0,4.0419893,4.0,27.07203,48.0,242.07254,245.0
37.0,13.972236,15.0,148.13121,167.0,102.25372,109.99999,173.78973,153.0,38.177788,50.0,74.83078,80.0,249.93803,278.0,186.03415,178.0,153.53973,187.0,73.13222,134.0,18.34778,29.000002,147.24326,173.99998,4.017446,4.0,16.508818,15.0,235.93921,280.0
35.0,16.430721,22.999998,198.7108,261.0,158.98018,186.0,244.78857,318.0,61.082,51.0,149.88219,173.0,279.1714,300.0,150.01512,171.0,155.156,155.0,100.32372,110.0,15.618307,14.0,139.38966,128.0,9.572117,14.0,19.624222,21.0,316.22366,332.0
42.0,9.747286,13.000001,153.08597,165.0,132.44145,106.99999,150.78262,149.0,27.387604,24.0,80.73917,85.0,179.24481,153.0,100.42448,115.0,65.16501,59.0,82.64501,76.0,32.214428,14.0,186.18834,170.0,5.017319,4.9999995,16.651075,15.0,316.52728,312.0
33.0,11.50509,26.000002,183.5256,234.0,211.32108,230.0,235.59178,262.0,56.239056,58.0,168.96663,185.0,158.25827,221.0,36.42662,31.0,90.59186,89.0,113.04666,134.0,15.6068325,13.0,162.5692,161.0,7.859272,17.0,23.196283,33.0,315.1509,339.99997
21.0,48.109787,49.0,166.21265,141.0,200.15137,200.99998,162.37465,176.0,3.8728728,9.0,76.79213,61.999996,153.90219,249.0,142.90594,126.0,97.89253,113.0,74.05916,59.0,0.9509509,1.0,90.81131,113.0,19.335606,43.0,37.74942,30.0,222.79282,220.0
34.0,11.846795,11.0,153.7521,126.00001,146.52458,130.0,234.12555,245.99998,54.00511,72.0,156.86972,153.0,148.37085,138.0,35.762115,38.0,74.49975,73.0,100.58714,85.0,14.179386,23.0,116.168015,123.99999,9.206877,9.0,21.972584,22.0,297.02573,311.0
36.0,16.431467,24.0,193.32436,153.0,136.51741,137.0,217.88168,252.0,54.25082,34.0,116.87006,119.0,311.11295,285.0,204.23875,144.0,183.68896,188.0,88.97726,79.00001,17.292004,8.0,150.28932,154.0,7.029251,4.0,16.656624,7.0,288.3209,197.0
16.0,11.323745,9.0,263.70966,283.0,156.15335,191.0,162.0374,144.0,59.89449,57.0,16.099907,9.0,458.7087,497.0,239.30417,212.0,236.79124,366.0,41.547314,57.000004,4.662905,2.0,126.1602,143.0,0.9499499,7.0,28.795471,54.0,190.47829,231.0
23.0,25.778933,39.0,102.90994,205.0,182.38446,153.0,48.77949,102.0,3.8728728,32.0,136.58235,194.99998,108.365295,353.0,160.04105,383.99997,106.28316,161.0,62.972233,56.0,0.9509509,4.0,37.603504,33.0,30.347012,38.0,33.280296,27.0,154.72552,164.0
43.0,10.814279,16.0,156.67685,143.0,95.61352,65.0,140.20609,186.0,28.241156,28.0,63.673695,42.0,153.79886,154.0,95.78979,94.99999,41.924625,49.0,75.02718,63.000004,29.692362,28.0,156.41689,151.0,4.1838,4.0,21.566172,27.0,273.01053,327.0
28.0,17.532425,13.999999,206.25674,155.0,129.82285,188.0,161.69609,243.0,60.42921,61.0,66.82218,77.0,226.66505,315.0,111.15428,141.0,127.83061,97.0,69.67682,34.0,1.4590337,6.0,168.0709,205.99998,15.443369,32.0,20.458492,8.0,137.88028,175.0
31.0,9.40307,17.999998,203.10507,178.99998,260.60883,232.0,190.53557,303.0,53.30558,78.0,145.43509,159.0,195.09367,147.0,93.75658,78.0,122.61339,100.0,110.17387,116.0,17.770521,26.0,233.52348,239.0,6.6958137,8.0,16.519695,21.0,304.18964,263.00003
14.0,8.472934,8.0,201.5771,195.0,113.94634,79.0,107.392845,76.0,41.146736,42.0,21.889008,19.0,247.25494,121.0,146.95767,164.0,103.2174,148.0,28.139645,17.0,3.8760858,4.9999995,91.77678,69.0,1.5094795,3.0,26.017567,41.0,158.3536,105.0
30.0,11.38049,22.999998,202.95938,242.0,222.49812,354.99997,161.08981,215.0,51.254345,110.0,110.895134,99.0,203.56139,300.0,87.64409,65.0,112.3234,134.0,92.17825,158.00002,11.617969,12.0,214.59816,224.0,8.869256,9.0,17.210825,30.0,236.78043,153.0
