月份/地点,白纸坊预测,白纸坊实际,朝外预测,朝外实际,朝阳门预测,朝阳门实际,大红门预测,大红门实际,德胜预测,德胜实际,东华门预测,东华门实际,东铁营预测,东铁营实际,广安门外预测,广安门外实际,建外预测,建外实际,劲松预测,劲松实际,酒仙桥预测,酒仙桥实际,六里屯预测,六里屯实际,卢沟桥乡预测,卢沟桥乡实际,马家堡预测,马家堡实际,南磨房预测,南磨房实际,前门预测,前门实际,曙光预测,曙光实际,王佐镇预测,王佐镇实际,西罗园预测,西罗园实际,西长安街预测,西长安街实际,香河园预测,香河园实际,亚运村预测,亚运村实际,右安门预测,右安门实际,月坛预测,月坛实际
35.0,70.718376,172.0,273.84738,275.0,77.51977,118.999985,498.0853,1153.0,49.637638,102.0,987.0348,807.0,87.614716,397.0,33.905907,100.0,200.20949,176.99998,1023.69916,1189.0,454.20612,448.0,279.76782,301.0,393.26486,1197.0,209.71559,260.0,369.89224,359.0,128.11992,115.0,135.62102,142.0,391.5137,590.00006,105.72034,143.0,7.6876874,19.0,405.3483,472.0,206.50542,129.0,136.6972,134.0,153.20534,152.0
27.0,42.026375,41.0,334.67032,389.0,34.699608,34.0,298.0775,589.0,954.22363,1153.0,340.84995,1139.0,17.425837,99.0,785.9514,855.0,384.49133,372.0,1108.3932,1080.0,584.7965,812.0,235.19429,226.99998,411.81616,643.0,51.064102,113.99999,232.55547,274.0,23.849476,45.0,58.7404,61.000004,370.86307,739.0,91.6141,295.0,214.20273,249.0,363.24637,380.0,184.59267,210.0,101.47583,258.0,1972.0079,1978.0
23.0,26.3792,23.0,18.944944,198.0,8.796797,36.0,820.18695,1161.0,1000.8753,1223.0,106.83484,368.0,7.3793797,49.999996,703.1449,987.0,44.046047,220.0,723.9329,744.0,778.8996,1520.0001,67.208206,519.0,770.3469,863.99994,137.41058,210.0,222.23015,244.99998,10.712713,46.0,28.836065,29.0,793.8173,1090.0,174.31688,161.0,467.90747,470.0,156.4419,366.0,52.773243,360.0,220.49567,229.0,1635.637,2124.0
28.0,38.09364,31.0,310.4615,276.0,40.84174,39.0,103.84212,120.0,601.83356,674.0,402.15897,999.0,13.887903,35.0,520.50024,530.0,369.81747,450.0,1031.8572,978.0,405.43246,380.00003,225.68129,220.99998,91.93393,194.0,7.77978,12.0,235.28116,231.99998,25.503637,29.0,35.41004,51.0,88.50116,141.0,9.137177,55.0,106.654205,101.99999,342.21982,225.0,154.25461,104.0,11.990991,34.0,1462.2423,1546.0
41.0,78.17545,98.0,634.0014,616.0,82.27931,120.99999,1865.243,2334.0,251.9652,258.0,796.7583,942.0,401.18686,528.0,67.59544,98.0,519.117,483.0,709.34564,769.0,563.19403,651.00006,338.555,359.0,1973.3816,3090.0002,481.0255,774.0,381.3336,539.0,160.091,173.0,567.01935,694.0,1160.8636,1229.0,61.576206,76.0,167.09059,225.0,370.67694,400.0,277.68167,337.0,587.06854,1241.0,545.3377,535.0
48.0,223.1442,642.00006,553.82477,554.0,71.4882,61.000004,2267.188,2536.0,189.82777,240.0,475.5942,453.0,84.14372,92.0,115.209236,132.0,346.59723,361.0,728.3151,663.0,672.9813,705.0,301.96854,306.0,1480.3297,1675.9999,345.0619,624.0,291.85287,289.0,114.643265,97.99999,670.7918,1073.0,1299.262,1785.0,44.549473,366.0,103.965965,128.0,304.2294,315.0,447.86154,545.0,629.47064,1115.0,516.77216,507.0
13.0,1.3593594,5.0,384.9007,307.00003,48.747265,65.0,2297.6777,2769.0,1203.5221,1286.0,547.8667,623.0,246.27477,259.0,607.83044,677.0,761.95544,661.0,453.90793,455.0,555.8588,521.0,383.01868,242.0,2842.3855,3372.0,284.63705,275.0,266.5755,258.0,34.535072,36.0,2.92993,37.0,479.87793,502.0,492.4927,493.0,842.8473,1204.0,176.21272,120.0,188.60463,305.0,108.73199,113.0,1639.6508,1880.0
42.0,110.45601,93.0,660.83374,587.0,74.66335,66.0,2462.4036,2491.0,320.99655,318.0,703.3387,679.0,488.7063,410.0,120.633125,131.0,551.00244,594.0,746.8321,726.0,632.39014,557.0,365.13605,307.0,2467.3232,3069.0,602.01373,963.00006,359.5362,365.0,153.80304,136.0,690.917,699.0,1572.142,1853.0,58.90454,50.0,205.38585,174.0,363.69733,377.0,323.06305,300.0,786.02356,1201.0,774.54956,665.99994
26.0,37.715504,60.0,282.37085,533.0,22.582642,24.0,463.13834,497.0,1169.3854,1227.0,234.68515,978.0,7.3793797,76.0,938.2442,1040.0,318.8841,393.0,1080.0533,1310.0,735.79095,1216.0,199.60497,309.0,677.84045,495.0,128.65987,171.0,222.8735,270.0,16.19729,66.0,65.531624,73.0,568.0179,954.0,155.59035,225.0,307.5877,302.0,338.49887,396.0,181.55785,209.0,182.29416,260.0,2203.2295,2301.0
11.0,1.3593594,10.0,422.7529,1057.0,42.290325,37.0,2254.6719,2432.0,1139.0741,1148.0,491.78174,476.0,361.09573,1212.0,588.191,541.0,665.5486,808.0,453.90793,744.0,543.59827,545.0,343.98355,475.0,2888.709,3419.0,289.14523,378.0,223.88023,221.0,40.315334,47.000004,2.92993,35.0,561.81525,710.0,500.53912,544.0,678.57587,649.0,181.25761,191.00002,271.05164,234.0,168.82524,181.0,1393.67,1293.0
22.0,42.653942,47.0,18.944944,20.0,8.796797,35.0,1191.791,1267.0,953.3818,1226.0,158.46463,404.0,7.3793797,30.0,624.99554,683.0,44.046047,45.0,707.4373,710.0,750.22894,716.0,67.208206,68.0,808.36035,897.0,115.48105,149.0,262.90366,259.0,22.973604,46.0,33.0786,35.0,1055.7446,1190.0,182.52507,211.0,596.0727,778.0,137.48267,127.00001,23.901218,29.0,228.01292,256.0,1531.8174,2195.0
17.0,1.3593594,3.0,243.6544,233.0,31.456999,32.0,2498.954,2549.0,1022.9913,1018.0,577.1309,487.0,282.87537,258.0,501.25012,500.0,766.6727,647.0,611.70984,616.0,914.6165,964.0,600.0432,620.0,1803.4153,1878.9998,446.11472,675.0,445.8741,402.0,43.18561,44.0,2.92993,8.0,649.5093,855.0,311.4867,285.0,1024.3372,962.0,409.86368,422.0,6.3993993,14.0,267.01248,368.0,1677.575,1642.0
46.0,233.85205,252.00002,582.56445,637.0,71.66399,90.0,2623.7407,2805.0,226.44582,270.0,485.49878,444.0,179.78908,340.0,122.13604,133.0,398.53885,426.0,786.16003,1008.0,705.19507,709.0,326.37518,334.0,1870.1989,2052.0,446.17172,431.0,303.21942,412.0,124.90997,287.0,746.8795,686.0,1581.4337,1936.0,40.03852,266.0,122.56024,128.0,312.26608,266.0,452.1518,490.0,768.3088,790.0,664.30383,715.9999
43.0,150.73112,152.0,654.5599,791.0,70.24899,68.0,2732.699,2248.0,316.47906,252.0,613.29205,622.0,466.44135,437.0,134.92851,110.0,529.40027,559.0,774.7091,932.0,672.8593,719.0,363.08234,365.0,2556.7454,2702.0,623.4948,615.0,335.64334,298.0,144.42339,144.0,757.2253,852.0,1765.7618,1635.0,50.852627,53.0,191.07298,194.0,348.00906,339.0,364.4906,313.0,877.7878,974.0,838.3109,845.99994
16.0,1.3593594,2.0,280.87335,342.0,39.510124,74.0,2240.827,1947.0,991.6948,923.00006,552.1478,568.0,241.02777,236.00002,477.3334,434.0,785.23596,914.0,502.20145,807.0,827.1765,850.0,563.99695,708.0,1864.6687,1798.0,399.44336,323.0,406.8338,505.0,32.296356,29.0,2.92993,4.0,297.76117,209.0,312.21402,292.0,940.6005,890.0,371.72067,451.0,6.3993993,15.0,179.11761,157.0,1583.2942,1536.0
38.0,70.179955,119.0,486.25952,472.0,101.49619,111.999985,435.73706,349.0,49.637638,51.0,1001.9741,986.0,25.498615,110.0,33.905907,75.0,328.47256,559.0,860.72833,917.0,447.72308,613.0,266.49646,226.99998,546.54144,561.0,135.20946,108.0,412.21387,476.99997,167.80844,184.0,278.43497,353.0,389.88217,402.0,99.58418,124.0,7.6876874,25.0,407.26907,427.0,224.17856,212.99998,144.26436,168.0,73.77278,76.0
