月份/地点,站点1预测,站点1实际
26.0,15.4319,16.0
17.0,16.0075,22.0
46.0,10.2751,10.0
48.0,7.19069,6.0
31.0,17.9807,18.0
15.0,7.42447,7.0
11.0,22.9949,24.0
22.0,50.8107,51.0
40.0,8.01211,8.0
37.0,13.7856,15.0
20.0,38.4264,42.0
12.0,15.6596,17.0
41.0,8.02633,8.0
29.0,15.2327,16.0
43.0,14.7205,16.0
13.0,15.6286,16.0
42.0,12.1039,13.0
16.0,8.30788,9.0
35.0,7.8311,23.0
21.0,48.1246,49.0
44.0,14.2447,11.0
34.0,10.452,11.0
14.0,8.07009,8.0
38.0,8.01211,8.0
23.0,38.4936,39.0
25.0,2.9596,4.0
30.0,21.065,23.0
45.0,12.1436,17.0
28.0,13.1793,14.0
24.0,8.01211,8.0
27.0,23.6222,13.0
19.0,16.5781,62.0
47.0,7.80529,11.0
36.0,11.5336,24.0
33.0,7.795,26.0
32.0,16.198,9.0
18.0,18.1108,17.0
39.0,7.7058,9.0
