月份/地点,站点6预测,站点6实际
44.0,33.9502,35.0
31.0,144.907,159.0
11.0,8.56795,8.0
35.0,168.965,173.0
24.0,137.155,143.0
47.0,66.1917,70.0
22.0,133.067,136.0
15.0,20.0735,21.0
36.0,109.704,119.0
39.0,70.6291,74.0
18.0,15.9917,19.0
40.0,70.8602,75.0
17.0,12.1345,13.0
12.0,18.5285,22.0
38.0,34.1824,37.0
42.0,82.1171,85.0
16.0,8.93149,9.0
25.0,102.416,108.0
14.0,18.1229,19.0
23.0,190.078,195.0
37.0,73.7937,80.0
30.0,95.1577,99.0
29.0,74.5712,77.0
21.0,60.9793,62.0
45.0,54.7939,56.0
43.0,37.4914,42.0
19.0,15.969,17.0
20.0,41.8904,42.0
46.0,63.7312,68.0
41.0,117.454,127.0
33.0,114.682,185.0
26.0,72.12,67.0
48.0,59.7398,52.0
32.0,151.072,172.0
28.0,59.5194,77.0
27.0,143.502,67.0
34.0,127.453,153.0
13.0,20.9301,20.0
