月份/地点,站点4预测,站点4实际
43.0,184.49213,186.0
22.0,118.18639,119.0
35.0,205.39923,318.0
17.0,208.56467,207.0
20.0,178.46962,179.0
38.0,171.78044,171.0
41.0,174.53387,173.0
30.0,212.54013,215.0
26.0,205.5249,208.0
18.0,198.30275,208.0
12.0,115.462875,117.99999
21.0,173.8317,176.0
46.0,121.60468,186.0
45.0,117.51243,120.0
48.0,109.72184,114.00001
27.0,273.48666,283.0
25.0,40.22222,175.0
14.0,76.247986,76.0
37.0,162.11366,153.0
13.0,101.339516,101.0
33.0,262.13165,262.0
15.0,117.95751,141.0
47.0,116.155495,117.99999
44.0,168.21417,174.0
29.0,137.09657,138.0
36.0,235.9221,252.0
39.0,157.80348,155.0
24.0,40.22222,43.0
23.0,40.22222,102.0
34.0,262.78442,246.0
19.0,154.29797,249.0
16.0,190.6608,144.0
40.0,151.18292,149.99998
42.0,237.11143,149.00002
11.0,191.57568,106.0
31.0,100.485535,303.0
32.0,110.672714,209.0
28.0,225.98126,243.0
