月份/地点,站点6预测,站点6实际
36.0,121.143,119.0
26.0,64.052,67.0
15.0,5.5956,21.0
32.0,176.662,172.0
17.0,10.3512,13.0
33.0,162.55,185.0
11.0,9.7806,8.0
44.0,34.4625,35.0
41.0,75.9333,127.0
10.0,9.04037,23.0
19.0,9.61131,17.0
21.0,38.2882,62.0
40.0,81.373,75.0
35.0,95.4597,173.0
23.0,177.007,195.0
47.0,68.7659,70.0
18.0,11.8814,19.0
39.0,62.084,74.0
30.0,67.9628,99.0
34.0,146.629,153.0
22.0,68.1387,136.0
27.0,72.6245,67.0
16.0,9.34341,9.0
48.0,61.5565,52.0
13.0,9.30459,20.0
25.0,94.771,108.0
28.0,72.7933,77.0
45.0,54.6962,56.0
8.0,21.6823,20.0
6.0,3.54405,2.0
20.0,5.61507,42.0
42.0,139.984,85.0
43.0,61.119,42.0
12.0,10.4814,22.0
29.0,76.4637,77.0
24.0,235.419,143.0
46.0,60.6045,68.0
9.0,12.3259,10.0
5.0,9.18265,15.0
37.0,76.8083,80.0
14.0,9.54202,19.0
31.0,94.3635,159.0
7.0,20.5431,7.0
38.0,62.1619,37.0
