月份/地点,站点15预测,站点15实际
27.0,126.584,139.0
9.0,93.4103,205.0
47.0,125.957,185.0
36.0,230.321,197.0
16.0,106.161,231.0
7.0,127.665,108.0
17.0,120.109,225.0
12.0,105.893,136.0
15.0,121.02,173.0
22.0,160.659,230.0
48.0,115.489,130.0
30.0,100.437,153.0
14.0,110.731,105.0
42.0,401.341,312.0
21.0,173.618,220.0
38.0,160.599,139.0
33.0,229.791,340.0
43.0,134.507,327.0
11.0,95.1378,86.0
45.0,98.7838,267.0
24.0,111.713,107.0
5.0,259.387,314.0
6.0,261.273,245.0
13.0,104.282,133.0
41.0,337.529,405.0
19.0,163.212,224.0
34.0,299.717,311.0
25.0,92.4305,95.0
35.0,233.018,332.0
46.0,151.014,216.0
31.0,96.8809,263.0
29.0,109.784,148.0
26.0,107.695,96.0
28.0,126.348,175.0
8.0,75.7071,79.0
10.0,99.4599,186.0
40.0,195.171,384.0
37.0,75.7071,280.0
44.0,153.913,245.0
32.0,150.329,292.0
23.0,163.248,164.0
18.0,158.755,222.0
20.0,158.659,239.0
39.0,83.0803,301.0
