月份/地点,站点15预测,站点15实际
45.0,236.91711,267.0
42.0,317.21353,312.0
37.0,153.38168,280.0
18.0,236.75595,222.0
16.0,216.1503,231.0
17.0,234.84381,225.0
39.0,110.70873,301.0
48.0,130.86761,130.0
20.0,239.66362,239.0
28.0,183.25699,175.00002
14.0,114.405785,105.0
34.0,307.72916,311.0
24.0,107.48552,107.0
29.0,147.79468,148.0
23.0,152.8376,164.0
11.0,86.20327,86.0
13.0,118.69649,133.0
22.0,186.70467,229.99998
21.0,233.4167,220.0
43.0,305.66623,327.0
46.0,198.1818,215.99998
41.0,245.50856,405.0
35.0,276.14957,332.0
44.0,283.6655,245.0
36.0,212.62299,197.0
40.0,143.21019,384.0
12.0,125.248566,136.0
38.0,147.06029,139.0
15.0,169.51852,173.0
33.0,283.91614,340.00003
19.0,230.1675,224.0
31.0,184.02586,263.0
26.0,154.85544,96.0
27.0,191.57294,139.0
25.0,114.02529,95.0
30.0,154.60645,153.0
47.0,174.14331,185.0
32.0,228.30907,292.0
