月份/地点,站点5预测,站点5实际
33.0,58.1127,58.0
41.0,26.001686,52.0
34.0,57.302406,72.0
43.0,27.99079,28.0
23.0,31.868591,32.0
46.0,80.31255,81.0
18.0,52.165226,73.0
39.0,27.74837,27.0
20.0,107.96957,108.0
42.0,24.163374,24.0
31.0,73.20546,78.0
17.0,49.750553,47.0
16.0,61.97865,57.0
35.0,55.176796,51.0
30.0,104.87002,110.0
37.0,41.45432,50.0
25.0,29.33897,29.0
19.0,93.53563,85.0
40.0,35.795986,34.0
13.0,35.71496,35.0
32.0,55.13152,56.0
48.0,87.82666,63.0
47.0,89.732735,110.0
11.0,51.833294,51.0
29.0,52.70334,51.0
15.0,57.763084,65.0
44.0,44.71767,42.0
38.0,17.26612,16.000002
12.0,46.135246,47.0
26.0,85.07659,87.0
28.0,75.17456,61.0
27.0,109.69751,70.0
24.0,18.644518,48.0
22.0,66.3976,4.0
14.0,45.745777,42.0
21.0,94.943,9.0
36.0,82.81651,34.0
45.0,76.87288,33.0
