月份/地点,站点13预测,站点13实际
14.0,3.4545083,3.0
38.0,3.9048624,4.0
28.0,18.245035,32.0
33.0,10.327431,17.0
31.0,7.1949472,8.0
21.0,43.707172,43.0
34.0,9.5985985,9.0
16.0,2.0453658,6.9999995
13.0,4.4511523,13.0
30.0,9.615395,9.0
36.0,3.9780679,4.0
39.0,5.3056393,5.0
32.0,5.2298284,5.0
29.0,14.216787,13.999999
24.0,28.862,27.999998
35.0,7.771213,13.999999
46.0,4.2821493,13.0
19.0,4.465508,50.0
25.0,23.588852,25.0
37.0,4.002651,4.0
48.0,3.9965968,4.0
22.0,42.99721,44.0
40.0,6.438216,6.0
17.0,1.0221801,1.0
47.0,4.468817,6.0
26.0,18.751097,18.0
20.0,40.425472,40.0
11.0,4.452235,4.0
15.0,3.4322464,6.9999995
45.0,3.9386325,4.0
43.0,4.5617228,4.0
18.0,2.7615273,21.0
44.0,4.7134414,4.0
27.0,12.995479,51.0
42.0,4.9733086,5.0
12.0,4.329428,3.0
23.0,36.26,38.0
41.0,6.182366,8.0
